Final Groups,Rank,Name,Viewer engagement level,"Humour
(Funny vs. Serious)","Respectfulness
(Respectful vs. irreverent)","Enthusiasm
(Enthusiastic vs. Matter-of-fact)",Streaming format,Streaming frequency,Age
A,13,TenZ,2218,9000,9000,9000,3000,6000,4950
A,14,sodapoppin,2820,3000,9000,3000,3000,6000,6525
A,17,TSM_ImperialHal,2151,9000,9000,3000,3000,6000,5400
A,20,Arteezy,1310,6000,9000,6000,3000,6000,6075
A,25,Thebausffs,1992,6000,9000,6000,3000,6000,5400
A,38,Kyedae,2347,6000,9000,3000,3000,6000,4950
A,41,Nikolarn,2023,3000,9000,3000,3000,6000,6525
A,48,Emiru,2180,3000,6000,3000,3000,3000,5625
B,11,Jinnytty,2444,6000,9000,3000,3000,9000,6975
B,24,forsen,1135,6000,9000,3000,3000,9000,7425
B,37,moistcr1tikal,2602,6000,3000,9000,3000,9000,6525
B,42,AdmiralBahroo,2035,6000,9000,3000,3000,9000,6975
C,1,xQc,3932,3000,3000,3000,3000,9000,6300
C,5,summit1g,3407,6000,9000,9000,9000,9000,8100
C,7,Caedrel,4470,3000,9000,3000,3000,9000,6075
C,8,zackrawrr,3562,3000,6000,3000,3000,9000,7425
C,9,Maximum,3708,6000,9000,9000,3000,9000,6750
C,10,LIRIK,4141,3000,6000,9000,3000,9000,7425
C,12,loltyler1,2964,3000,3000,3000,3000,9000,6300
C,15,MOONMOON,2483,3000,9000,3000,3000,9000,7425
C,27,Quin69,5047,3000,3000,3000,3000,9000,7425
C,28,Elajjaz,3368,3000,3000,3000,3000,9000,6975
C,31,Maximilian_DOOD,4677,6000,9000,9000,3000,9000,9000
C,32,Xaryu,5296,3000,9000,3000,3000,9000,6750
C,36,Foolish_Gamers,5377,3000,9000,3000,9000,9000,5625
C,43,Tectone,5841,3000,3000,3000,3000,9000,6750
C,44,LVNDMARK,3421,6000,9000,9000,3000,9000,6525
D,16,NICKMERCS,4087,3000,6000,3000,9000,6000,7425
D,18,Mizkif,4986,3000,6000,3000,9000,6000,6300
D,19,yourragegaming,4149,3000,9000,3000,9000,6000,5850
D,29,Clix,5495,3000,6000,3000,9000,9000,4050
D,34,Nmplol,5566,3000,6000,9000,3000,6000,7200
E,6,scump,4669,6000,9000,3000,9000,6000,6300
E,26,buddha,3536,6000,9000,3000,9000,6000,6525
E,39,shroud,3637,6000,9000,9000,9000,6000,6525
E,40,QuickyBaby,4776,6000,9000,9000,3000,6000,8100
E,46,Fanum,3555,6000,3000,9000,3000,6000,5850
F,2,tarik,3719,6000,9000,6000,3000,9000,6075
F,21,Gorgc,3094,6000,9000,6000,3000,9000,6750
F,23,hJune,3220,6000,9000,6000,3000,3000,5850
G,4,HasanAbi,6085,9000,9000,9000,3000,9000,7200
G,30,CohhCarnage,3845,9000,9000,9000,3000,9000,8775
G,33,Fextralife,4069,9000,9000,9000,3000,9000,6300
H,3,KaiCenat,7695,3000,3000,3000,3000,6000,4950
H,22,Quackity,8632,3000,9000,3000,9000,3000,5175
H,35,CoconutB,6421,3000,3000,3000,3000,6000,5625
H,45,PENTA,6704,3000,3000,3000,9000,6000,5850
H,49,CDawgVA,6203,3000,9000,3000,3000,3000,5625
H,50,PaymoneyWubby,9000,3000,3000,3000,3000,6000,6300